Title,Text,Subject,Date
 Trump Spent The Night Retweeting A White Supremacist Convicted Criminal,"While most of us were sleeping, Donald Trump spent his night retweeting a white supremacist who was convicted in the UK for harassing a Muslim woman in front of her two young children. Jayda Fransen was arrested in October during a neo-Nazi rally for violating terms of her bail. Fransen, Deputy Director of Britain First is thrilled to have been retweeted three times by the so-called president of the United States. Trump even retweeted a video of a boy on crutches being murdered, just in case you haven t had enough gore in your life.The former reality show star s retweets even stunned Paul Joseph Watson, Infowars editor-at-large who suggested the move was  not great optics. Yeah, someone might want to tell whoever is running Trump's Twitter account this morning that retweeting Britain First is not great optics.   Paul Joseph Watson (@PrisonPlanet) November 29, 2017Even Infowars thinks Trump went too far. Let that sink in for a moment.Here s a screen capture of the snuff film Trump retweeted.Fransen was super excited that Trump shared her anti-Muslim videos to his 44 million followers and went all caps in her tweet. THE PRESIDENT OF THE UNITED STATES, DONALD TRUMP, HAS RETWEETED THREE OF DEPUTY LEADER JAYDA FRANSEN S TWITTER VIDEOS!  Fransen tweeted.  DONALD TRUMP HIMSELF HAS RETWEETED THESE VIDEOS AND HAS AROUND 44 MILLION FOLLOWERS! GOD BLESS YOU TRUMP! GOD BLESS AMERICA! THE PRESIDENT OF THE UNITED STATES, DONALD TRUMP, HAS RETWEETED THREE OF DEPUTY LEADER JAYDA FRANSEN'S TWITTER VIDEOS! DONALD TRUMP HIMSELF HAS RETWEETED THESE VIDEOS AND HAS AROUND 44 MILLION FOLLOWERS! GOD BLESS YOU TRUMP! GOD BLESS AMERICA! OCS @JaydaBF @realDonaldTrump pic.twitter.com/BiQfQkTra9  Jayda Fransen (@JaydaBF) November 29, 2017Trump cult member Piers Morgan was shocked by the retweets, too.  Good morning, Mr President @realDonaldTrump   what the hell are you doing retweeting a bunch of unverified videos by Britain First, a bunch of disgustingly racist far-right extremists?  he tweeted.  Please STOP this madness & undo your retweets. Good morning, Mr President @realDonaldTrump   what the hell are you doing retweeting a bunch of unverified videos by Britain First, a bunch of disgustingly racist far-right extremists? Please STOP this madness & undo your retweets.  Piers Morgan (@piersmorgan) November 29, 2017The video of the man being pushed off of a rooftop was filmed in Egypt during the 2013 overthrow of president Mohamed Morsi and the man complicit of the crime was hanged after being found guilty, according to BuzzFeed News.When British Labour Party politician Jo Cox was murdered by a far-right terrorist, he shouted,  This is for Britain ,  keep Britain independent , and  Britain first  as he attacked her.Cox s husband responded to Trump s retweets, writing,  Trump has legitimised the far right in his own country, now he s trying to do it in ours. Spreading hatred has consequences & the President should be ashamed of himself. Trump has legitimised the far right in his own country, now he s trying to do it in ours. Spreading hatred has consequences & the President should be ashamed of himself.  Brendan Cox (@MrBrendanCox) November 29, 2017Trump just promoted a woman who was convicted of a hateful act in Britain, much to the distress of a widowed man whose wife s murder shocked the world. Either Trump doesn t know how to Google or he s a hateful bigot   or both. You choose.Photo by Zach Gibson   Pool/Getty Images.",News,"Apr 1, 2015"
" Trump Just Got Some Really, REALLY Bad News About His Tax Returns (DETAILS)","Donald Trump has been playing games with his tax returns ever since he began his disgraceful presidential campaign. He repeatedly promised to release his tax returns after the election, but has continued to keep them a secret from the American people. Democrats and Republicans alike know that the American people deserve transparency from their president, and the latest effort to make Trump reveal his tax documents is going to send him into a rage.Two House Republicans have just joined a Democratic effort to obtain copies of Trump s tax returns, with the help of the Internal Revenue Service. This is big news   and proves that not even the GOP approves of the way Trump has conducted himself.The two Republicans, Reps. Mark Sanford (R-S.C.) and Walter Jones (R-N.C.), have added their signatures to a letter requesting Trump s tax returns from the past ten years. This letter was championed by Rep. Bill Pascrell (D-N.J.)  and backed by almost every person in the 193-member House Democratic Caucus. In the letter, it is stated that Trump s tax returns would provide clarity on his conflicts of interest, which Trump has tried to hide and distract from. The letter says: Disclosure would serve the public interest of clarifying President Trump s conflicts of interest in office, the potential for him to personally benefit from tax reform, and ensure that he is not receiving any preferential treatment from the IRS.We believe the powerful and respected Committees on Finance and Ways and Means have the responsibility to ensure oversight of the executive branch by requesting a review of President Trump s tax returns and moving toward a formal release of these documents to the public. Trump s refusal to reveal his tax returns is unusual, breaking four decades in which every presidential nominee has been transparent with their tax returns. Trump tried to use an IRS audit to excuse himself, but even the IRS stated he was free to release his documents whenever he wanted to. Hopefully, this letter and the Republican senators  signatures will add enough pressure to the situation so Americans can finally know the truth about Trump.Featured image via Drew Angerer / Getty Images",News,"Aug 12, 2017"
 WATCH: Pat Robertson Gets INCREDIBLY Offensive In Full-Throated Defense Of Trump,"How much more depraved does a so-called pastor have to get before people acknowledge that he is not a real Christian?Because one would think that conservative  Christians  of all people would be absolutely opposed to Donald Trump after his lewd comments about groping women came to light on Friday.But evangelical leaders are willing to abandon their own supposed values and continue supporting Trump as long as it means Hillary Clinton does not become president.Family Research Council head Tony Perkins made that clear on Saturday when he STILL voiced support for Trump despite his  grab them by the p*ssy  remark. My personal support for Donald Trump has never been based upon shared values, it is based upon shared concerns about issues such as: justices on the Supreme Court that ignore the Constitution, America s continued vulnerability to Islamic terrorists and the systematic attack on religious liberty that we ve seen in the last 7 1/2 years,  Perkins said.Ralph Reed of Faith and Freedom Coalition basically said the same thing. Voters of faith are voting on issues like who will protect unborn life, defend religious freedom, create jobs, and oppose the Iran nuclear deal. Ten-year-old tapes of private conversation with a television talk show host rank very low on their hierarchy of concerns. In other words, Trump could sexually assault all the women he wants and still be supported by conservative  Christian  leaders.And that includes 700 Club preacher Pat Robertson, who called Trump s behavior  macho  while continuing to endorse him for president. A guy does something 11 years ago, it was a conversation in Hollywood where he s trying to look like he s macho,  Robertson said on Monday.  And 11 years after that they surface it from The Washington Post or whatever, bring it out within 30 days or so of the election and this is supposed to be the death blow and everybody writes him off,  Okay, he s dead, now you ve got to get out of the way and let Mike Pence run the campaign. Robertson proceeded to declare Trump the winner of Sunday night s debate and called him  a Phoenix  rising from the ashes of an imploded campaign.Here s the video via YouTube.These hypocrites have been whining for years about how America needs a president who shares their so-called biblical values, but now they couldn t care less about those values as long as they can put a puppet in the White House who will rubber stamp their extreme religious agenda and force it upon the nation, even if the candidate they want is totally unfit for the office. These people are NOT Christians. They merely used religion to gain power and wealth and if conservatives actually had spines they would toss these pretenders out on their asses for disgracing the church.Featured Image: Screenshot",News,"Dec 14, 2016"
 WATCH: Video Shows Cops TRYING To Run Over Black Man With Cruiser,"In something you might expect from a video game instead of real life, police in Sacramento, California are under fire on Monday after a dash cam video was released that showed police trying to run down a black man who reportedly had only a knife. They missed, but they did manage to shoot 50-year-old Joseph Mann 14 times. Now, the community is calling for the police involved to be charged with murder.The incident happened on July 11th. As those on the right will happily point out, the police were called to an apartment complex because Mann was reportedly acting erratically and he had a knife. When police ordered Mann to drop his weapon and get on the ground, Mann instead threw a thermos at the police car.That s when Officers Randy Lozoya and John Tennis came to the scene. They are the officers in the video.In the video, the officers are heard saying,  I m gonna hit him  and  Okay, go for it,  before gunning the engine and aiming for him. Mann was able to evade the police cruiser, but the officers stopped the car, got out and during a foot chase, shot Mann 14 times, killing him.Here it is: Mann was standing stationary on a sidewalk with no one in close proximity when the officers unloaded their guns,  Burris wrote in a letter he said he sent the U.S. Attorney General Loretta Lynch.The family wants murder charges filed.The officers  behaved like big game hunters closing in on an animal,  said John Burris, a lawyer for the family of 50-year-old Joseph Mann.Source: CBS NewsThe Sacramento police are reserving judgement, of course. Spokesman Matthew McPhail didn t say whether cars are permitted as weapons, but he did say,  our officers are encouraged to assess each circumstance and think critically about the tools at their disposal. The two cops have not been fired. They were placed on paid leave for a whole week after the shooting and now they are on desk duty.Again, Mann wasn t an innocent bystander. Methamphetamine was found in his system. The family s lawsuit claims that Mann was  displaying obvious signs of mental distress.  The police followed no protocol for dealing with a mentally distressed person and they made no attempt to deescalate the situation.The bottom line, though, is that the punishment did not fit the crime. If police can t even subdue a man who is armed with only a knife, how are they supposed to deal with a mass shooter or a terrorist? Not all crimes are equal and this certainly wasn t a crime that warranted the death penalty, not that police have that authority anyway.Featured image via video screen capture. ",News,"Dec 17, 2015"
 Trump Just Approved Of And Asked For MORE Violence Against Protesters (VIDEO),"What s it going to take for someone to step in and tell Donald Trump that his behavior is not okay? When will he be arrested for inciting violence against others? He is now literally saying that fighting and punching protesters at his rallies is okay. Well, guess what? It s not okay. Not by any means. Not if, even as Trump says, the protesters are  violent. At a press conference Friday morning where Dr. Ben Carson slept through his endorsement of Trump, Trump said: These are people that punch. People that are violent people. The particular one where I said  I d like to bang him,  that was a very vicious   a guy who was swinging, very loud, and then started swinging at the audience. You know what? The audience swung back. And I thought it was very, very appropriate. He was swinging. He was hitting people. And the audience hit back. And that s what we need a little bit more of. This isn t all that surprising considering this is what he has said before: You know what I hate? There s a guy totally disruptive, throwing punches, we re not allowed to punch back anymore. I love the ol  days. You know what they used to do to guys like that when they were in a place like this? They d be carried out on a stretcher, folks. Enough is enough, folks. Violence is never okay, and if you want to be the President of the United States, Trump, you can t just throw punches at our enemies if they don t agree with you. One of the scariest thoughts in the world right now is the thought of Trump with our nuclear codes. WATCH: Donald Trump called violence against protesters at his rallies  very, very appropriate  https://t.co/Sr1ROSVICO  Globalnews.ca (@globalnews) March 11, 2016Featured image via screen capture",News,"February 9, 2016"
 Joe Scarborough ADMITS That Trickle Down Economics Is A Total Republican Lie (VIDEO),"In a shocking moment of confession, Morning Joe host Joe Scarborough admitted on the air that trickle down economics is a lie that only helped the rich get richer.In an effort to explain why so many conservatives are flocking to support Republican front-runner Donald Trump, Scarborough said on Tuesday that it s because Republicans have lied to their constituents for the last thirty years that wealth will trickle down to them if we help the wealthy by cutting taxes.This can be seen most clearly in the wealth gap, which has only widened over the last three decades, resulting in the top 1 percent owning more the nation s wealth than the bottom 50 percent of the population combined. The rich have gotten richer and the poor have only gotten poorer as the once mighty and prosperous American middle class is disappearing. The problem with the Republican Party over the past 30 years is they haven t   and I ll say, we haven t   developed a message that appeals to the working class Americans economically in a way that Donald Trump s does,  Scarborough said. We talk about cutting capital gains taxes that the 10,000 people that in the crowd cheering for Donald Trump, they are never going to get a capital gains cut because it doesn t apply. We talk about getting rid of the death tax. The death tax is not going to impact the 10,000 people in the crowd for Donald Trump. We talk about how great free trade deals are. Those free trade deals never trickle down to those 10,000 people in Donald Trump s rallies. And then the former Republican lawmaker actually flat-out admitted that trickle down hasn t worked. But herein lies the problem with the Republican Party. It never trickles down! Those people in Trump s crowds, those are all the ones that lost the jobs when they get moved to Mexico and elsewhere. The Republican donor class are the ones that got rich off of it because their capital moved overseas and they made higher profits What we re finding this year is, they ll even support a guy who says Planned Parenthood is good if he comes with an economic approach that they feel could actually help them more in the future. Here s the video via YouTube:And Scarborough is absolutely right. For decades, Republicans have told the American people that their economic concerns will be all taken care of as long as we eliminate taxes on the wealthy. But all that trickle down economics has caused is Americans losing their jobs overseas and they never see a dime of the wealth the GOP promised would trickle down upon them. It s like saying apples will fall from a tree if you just wait long enough but by the time one does fall it s rotten to the core and worthless. And that s if the tree doesn t just keep all the apples for itself like the wealthy are currently keeping all the money to themselves.The fact is that trickle down economics is a failed economic policy that needs to be ditched in favor of one that actually helps the American people. It s time for the rich to start paying their fair share and it s time for the middle class to rise again and take back the wealth that has been stolen by Republicans and their wealthy puppet masters.Featured image via screenshot",News,"Jan 1, 2016"
THERE’S A NEW SHERIFF IN TOWN: ISIS Gets Stunning WAKE UP CALL From General “Mad Dog” Mattis On Day One,"President Trump has mentioned in the past that he would like to see ISIS completely wiped out within 30 days of taking office. If Mattis  first day on the job was any indication, the president may just get his wish.In Iraq, Mattis continued to crush ISIS forces. One of the strikes, taking place in the city of Rutbah, eliminated a tactical unit, two weapons caches, a mortar and a vehicle. Strikes in the city of Beiji also demolished a unit and a vehicle, while another strike in Kisik blew up a building and a tactical unit.To cap it all off, Mattis oversaw two strikes against Mosul, the ISIS region capital in Iraq, which annihilated two units, a tank, a factory that manufactures car bombs, and three fighting positions.CNN Analyst retired Lt. Gen. Mark Hertling defends Obama s strategy and calls Trump s plan to defeat ISIS,  A sophomoric approach to national security policy.  Suggests that he might want to take a look at other countries to see how they defeat terrorism:Here s a video of Trump s new Secretary of Defense General James  Mad dog  Mattis reporting for duty on his first day:#SecDef James Mattis arrives at the #Pentagon on his first full day of office in #WashingtonDC, January 21, 2017. pic.twitter.com/KtOuwbTlQJ  U.S. Dept of Defense (@DeptofDefense) January 21, 2017",politics,"Jun 13, 2015"
"LEAKED TAPE Exposes George Soros, Obama GROUP Planning To Infiltrate, DISRUPT Republican Town Hall Meetings, DEMAND Media Attention","James Proctor has been identified as the ringleader in the  radical group  Indivisible,  who can be heard directing the fake protesters on how to disrupt GOP town halls. In the audio, he can be heard giving the (likely paid) actors a few last minute tips before heading out:  Dress conservatively, behave conservatively, right? Look and dress like students, dress like housewife wear a suit and tie Any signifier that you re a liberal leave it. The recordings have been authenticated by KPEL News. James Proctor, who can be heard speaking in the recording, says he does live in the Acadiana area. Proctor says some of his comments were taken out of context as the published recording is only a portion of the hour and a half long meeting. He works with the group Indivisible Guide. The groups name can be heard on the recording of the meeting. Indivisible,  the George Soros spinoff outfit which is, along with Barack Obama s Organizing For America, collaborating to salt the town halls of Republican members of Congress with activists and agitators seeking to disrupt those town halls and make those members look bad on TV. This outfit scored a  win  of sorts on Bill Cassidy at his gathering in Metairie yesterday, packing the room with people who berated the senator with boos, uncivil questions and unhinged hectoring.Here s what Hillary had to say about Americans who were sickened by the organized protesters showing up at town hall meetings: If you can't stand the heat, get out of the Congress.https://t.co/TEAXDPEPrt  Hillary Clinton (@HillaryClinton) February 22, 2017Watch the shameful local news media giving these organized freaks media coverage, as though they were legitimate citizens who were just randomly attending Bill Cassidy s town hall meeting. During the town hall meeting, organized protesters screamed at the pastor who was opening the meeting with a prayer to,  pray on your own time!  They also interrupted the pledge of allegiance. This reporter not only ignored both of those disgusting acts, she also goes to great lengths to discredit any idea that these people were organized. She even went as far as to attempt to make the viewers believe that some of these like minded people could have found out about this town hall meeting on a Facebook page:We, and other conservative media organizations in the state, received audio from someone   let s call him a concerned citizen   who sat in on an Indivisible meeting in Lafayette earlier this week wherein plans were being made to do the same thing to Cassidy tomorrow morning in Breaux Bridge. Moon Griffon spliced a number of the audio cuts together into one clip of highlights from that meeting, and it s worth a listen   The HayrideWe promise, this is NOT your grandma s Tea Party. Here s the leaked audio:What s not included in the Moon Griffon audio is this fun clip of the Indivisible people proposing to coordinate with Gov. John Bel Edwards  office, which begs the question whether that proposal was made and/or responded to. Edwards, one might imagine, has enough trouble with Cassidy without being responsible for sending agitators into Cassidy s town halls:Here s the reaction of the Pastor and Louisiana Senator Bill Cassidy after organized protesters trashed his town hall meeting: https://youtu.be/8q1WK3HENgE",left-news,"Feb 28, 2017"
IF OBAMA HAD A DAUGHTER: [VIDEO] #BlackLivesMatter Terrorist Arrested For Vile Threats Against Whites And Cops On YouTube,"Even though this #BlackLivesMatter terrorist clearly calls for the killing of Whites and cops in her YouTube videos, Latausha Nedd  denies it. No word yet from her mother yet on how she wouldn t harm anyone and doesn t have a racist bone in her body https://youtu.be/d3yWQLVqiOoA  BlackLivesMatter  activist in Clayton County, GA, was (finally) arrested after making threats against police officers on her YouTube channel.Latausha Nedd   who calls herself Eye Empress Sekhmet   was arrested for making threats against police officers and taken into custody. In the video of her arrest, she claims since her threats were on a YouTube channel, they were somehow innocuous. But Nedd has built up a pretty good resume of violent, racist and criminal calls to bloodshed.Here s the video where Nedd declares  open season  on the  motherf*cking crackers,  points a gun at the camera and shows images of white police officers.https://youtu.be/VMhrAmZPjJkWSB-TV is reporting Nedd denied advocating killing cops, even though that s precisely what she did. This is about a YouTube video? I ve seen worse on YouTube,  Nedd said from the back of a police cruiser.  All I said was defend yourself against people who want to kill us. That s all. I never said anything more than that. Nedd claims she s harmless. But according to police, her words are as dangerous as any weapon.Here she is protesting Stone Mountain with more racist, anti-American #BlackLivesMatter idiots: It s also the reaction she solicits or anyone solicits from people who may be listening,  Register said.Nedd remains in the Clayton County Jail, charged with making terroristic threats and transmitting those threats through social media.Nedd has been involved with the  BlackLivesMatter  movement for some time. Here s a delightful image of the young lady standing on an American Flag on Memorial Day.Via: DowntrendH/t  Weasel Zippers",politics,"March 23, 2017"
"PRO ABORTION PAC, Emily’s List Doing Its Part To Keep Minority Population In Check… Endorses Hillary","Of course Emily s List is going to support Hillary, because Democrats have been doing their part to keep the   unwanted  or  undesirable  babies from making it out of the womb alive for decades .WASHINGTON, D.C.   Today EMILY s List, the nation s largest resource for women in politics, endorsed Hillary Clinton for president. Clinton is on track to become the first woman to win the Democratic nomination, and if elected, the first woman president of the United States. Hillary Clinton is a lifelong champion for women and families and the most qualified candidate to be president,  said Stephanie Schriock, President of EMILY s List.  With roots in the middle class, Hillary s top priority is changing the economic reality for American families. Her focus is on strengthening the middle class, creating jobs, and making sure hardworking families get a fair shot. No one will work harder than Hillary. She knows how to lead so Washington fights for all Americans. As president, Hillary will create more opportunities than ever for women and girls (give them access to on demand abortions) and for all hardworking Americans across the country, just as she has done throughout her exceptional career. The EMILY s List community   now more than three million members strong   is proud to endorse Hillary Clinton for president. Hillary Clinton has devoted her entire career to fighting for women and families (supporting the killing of unborn babies). Instead of going to a big law firm after graduating from Yale Law School, she took her first job going door to door for the Children s Defense Fund. She helped lead the fight for the Children s Health Insurance Program as first lady of the United States, and she put emphasis on women s rights as a  cornerstone of American foreign policy  as Secretary of State.A visionary leader who s always worked to create opportunity for others, Hillary has said she believes  our challenge is to be clear-eyed about the world as it is while never losing sight of the world as we want it to become.  When she is elected president, it will mean more opportunities for women, more opportunities for girls, and more opportunities for hardworking Americans across the country.Via: Weasel Zippers",Government News,"May 31, 2015"
